sno,ss_id,ss_name,PTR_Capacity,Voltage_Rating,Manufacturer,ManufSerialNo,YoM,Doc
649,258,220/11KVKV SS Sarangapur,40,220/11KV,THOSHIBA T&D SYSTEMS PVT LTD,90380A02,2019,07-05-2022
650,258,220/11KVKV SS Sarangapur,40,220/11KV,THOSHIBA T&D SYSTEMS PVT LTD,90380A03,2019,06-06-2022
651,258,220/11KVKV SS Sarangapur,10/16,220/11KV,THOSHIBA T&D SYSTEMS PVT LTD,90380B02,2019,21-12-2021
652,259,220/11KV SS Devannapet,40,220/11KV,TOSHIBA,90506A03,2021,19-06-2023
653,259,220/11KV SS Devannapet,40,220/11KV,TOSHIBA,90506A01,2021,19-06-2023
654,259,220/11KV SS Devannapet,40,220/11KV,TOSHIBA,90506A02,2021,19-06-2023
655,259,220/11KV SS Devannapet,25,220/11KV,TOSHIBA,90506B02,2021,19-06-2023
656,259,220/11KV SS Devannapet,25,220/11KV,TOSHIBA,90506B01,2021,19-06-2023
657,261,220/132KV SS Gunrock,160,220/132KV,EMCO,HT 1892/13261,2011,30-11-2012
658,261,220/132KV SS Gunrock,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PMO100086,2012,09-04-2020
659,261,220/132KV SS Gunrock,160,220/132KV,BHARAT BIJLEE LTD,5595/07,2017,19-05-2018
660,262,220/132KV SS Malyalapally (Ramagudam),160,220/132KV,IMP POWERS LTD,7616,2015,04-09-2016
661,263,220/132KV SS Utnoor(Indravelly),100,220/132KV,EMCO,1698-12586,2006,27-08-2021
662,263,220/132KV SS Utnoor(Indravelly),100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,230001,2009,22-11-2021
663,264,220/132KV SS Budidampadu,160,220/132KV,IMP POWERS LTD,PT-7611,2015,11-03-2016
664,264,220/132KV SS Budidampadu,160,220/132KV,IMP POWERS LTD,PT-7615,2015,08-06-2016
665,265,220/132KV SS Erragadda,160,220/132KV,BHARAT BIJLEE LTD,5273/2,2011,03-06-2015
666,265,220/132KV SS Erragadda,160,220/132KV,BHARAT BIJLEE LTD,5264/2,2011,27-05-2015
667,265,220/132KV SS Erragadda,160,220/132KV,BHARAT BIJLEE LTD,5595/12,2018,22-11-2018
668,266,220/132KV SS Huzurabad,160,220/132KV,BHARAT BIJLEE LTD,5471/4,2015,22-11-2021
669,266,220/132KV SS Huzurabad,100,220/132KV,CROMPTON GREAVES LTD,BH-8877,2002,23-08-2017
670,266,220/132KV SS Huzurabad,100,220/132KV,BHARAT BIJLEE LTD,T/05590-01,2017,14-05-2018
671,267,220/132KV SS Imlibun,160,220/132KV,BHARAT BIJLEE LTD,5471/19,2015,31-01-2017
672,267,220/132KV SS Imlibun,160,220/132KV,BTW ATLANTA TRANSFORMERS,20191T01,2019,30-08-2020
673,268,220/132KV SS Jagitial,100,220/132KV,ALSTOM INSTRUMENT TRANSFORMERS,B-29658,2002,31-10-2002
674,268,220/132KV SS Jagitial,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100080,2012,05-09-2012
675,268,220/132KV SS Jagitial,100,220/132KV,EMCO,HT-1381/1175,1997,19-03-2016
676,268,220/132KV SS Jagitial,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100465,2023,30-12-2023
677,269,220/132KV SS Jurala,100,220/132KV,BHEL,2038210,2014,21-01-2015
678,269,220/132KV SS Jurala,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100483,2024,01-02-2025
679,269,220/132KV SS Jurala,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100467,2025,18-06-2025
680,270,220/132KV SS K.M.Pally,100,220/132KV,EMCO,HT1698/12587,2006,21-07-2007
681,270,220/132KV SS K.M.Pally,100,220/132KV,APEX TRANSFORMERS LTD,T-1056/03,1999,29-10-2008
682,270,220/132KV SS K.M.Pally,100,220/132KV,CROMPTON GREAVES LTD,24211,1980,13-06-2016
683,270,220/132KV SS K.M.Pally,100,220/132KV,CROMPTON GREAVES LTD,T8462/2,1995,01-07-2022
684,271,220/132KV SS Kalwakurthy,160,220/132KV,BHARAT BIJLEE LTD,5471/3,2015,17-02-2016
685,271,220/132KV SS Kalwakurthy,160,220/132KV,BHARAT BIJLEE LTD,5471/15,2015,21-03-2016
686,271,220/132KV SS Kalwakurthy,100,220/132KV,BHARAT BIJLEE LTD,5130/4,2009,31-08-2010
687,272,220/132KV SS Kamareddy,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,210003,2007,20-02-2009
688,272,220/132KV SS Kamareddy,160,220/132KV,BHARAT BIJLEE LTD,T/05595/2,2017,18-12-2017
689,273,220/132KV SS Mandamarri (Bellampally),100,220/132KV,BHARAT BIJLEE LTD,5130/6,2010,20-07-2011
690,273,220/132KV SS Mandamarri (Bellampally),100,220/132KV,EMCO,HT-169812590,2006,31-03-2007
691,273,220/132KV SS Mandamarri (Bellampally),100,220/132KV,T/F ELE KERALA LTD,130081-5,1988,07-09-2015
692,274,220/132KV SS Manthani,100,220/132KV,BHEL,2006479,1991,28-12-2023
693,274,220/132KV SS Manthani,100,220/132KV,BHEL,2038215,2014,06-01-2016
694,274,220/132KV SS Manthani,100,220/132KV,EMCO,1439/11895N1,1999,25-07-2021
695,275,220/132KV SS Parigi,50,132/33KV,BHEL,2014631,2002,20-02-2016
696,275,220/132KV SS Parigi,50,132/33KV,MARSONS LTD,83569,2014,10-01-2015
697,275,220/132KV SS Parigi,100,220/132KV,CROMPTON GREAVES LTD,24443,1983,17-10-2016
698,275,220/132KV SS Parigi,100,220/132KV,TBEA LTD,15B04073,2015,04-03-2016
699,276,220/132KV SS Sadasivapet,160,220/132KV,BHARAT BIJLEE LTD,5471/14,2016,18-03-2016
